City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
246,waverly,1,US,1565140568,78,37.04,-77.1,84.2,5.64
247,constitucion,75,MX,1565140144,44,23.99,-104.67,75.2,9.17
248,brae,100,GB,1565140570,100,60.4,-1.35,55.4,1.12
249,obzor,0,BG,1565140571,77,42.82,27.88,69.01,2.19
250,los llanos de aridane,90,ES,1565140573,69,28.66,-17.92,75.2,12.75
251,hermiston,1,US,1565140574,12,45.84,-119.29,102.2,14.99
252,keflavik,0,IS,1565140391,100,64.0,-22.56,54.0,10.29
253,talnakh,0,RU,1565140070,82,69.49,88.39,57.2,8.95
254,korcula,0,HR,1565140578,82,42.96,17.14,66.2,1.12
255,craig,40,US,1565140579,29,40.52,-107.55,80.6,11.41
256,richards bay,6,ZA,1565140580,71,-28.77,32.06,69.42,12.75
257,vostok,100,RU,1565140581,98,46.45,135.83,68.33,0.89
258,almaznyy,20,RU,1565140583,82,48.03,40.04,55.4,2.1
259,kudahuvadhoo,100,MV,1565140584,77,2.67,72.89,83.07,11.95
260,tual,99,ID,1565140585,88,-5.67,132.75,77.22,16.24
261,paeroa,0,NZ,1565140588,68,-37.37,175.68,60.01,10.0
262,viransehir,0,TR,1565140589,19,37.24,39.76,74.43,9.08
263,laguna,40,BZ,1565140071,74,16.17,-88.94,86.0,4.7
264,sydney,0,AU,1565140535,31,-33.85,151.22,69.01,9.17
265,camacha,0,PT,1565140593,88,33.08,-16.33,71.6,6.93
266,rocha,0,UY,1565139926,94,-34.48,-54.34,58.05,7.85
267,progreso,0,UY,1565140595,72,-34.68,-56.22,66.0,13.94
268,itoman,75,JP,1565140596,88,26.12,127.67,82.4,16.11
269,rosarito,40,CO,1565140598,73,4.91,-75.23,78.8,2.24
270,port hawkesbury,1,CA,1565140599,56,45.62,-61.36,70.0,5.82
271,opuwo,32,NA,1565140603,29,-18.06,13.84,56.43,2.13
272,pangnirtung,87,CA,1565140604,65,66.15,-65.72,51.24,3.04
273,merauke,85,ID,1565140605,86,-8.49,140.4,76.89,16.22
274,kencong,100,ID,1565140606,84,-7.78,112.24,68.54,4.92
275,omsukchan,100,RU,1565140608,85,62.53,155.8,50.43,4.61
276,vila,75,IT,1565140609,73,45.18,8.4,77.0,8.05
277,turukhansk,84,RU,1565140610,67,65.8,87.96,59.85,8.16
278,saint-augustin,90,CA,1565140611,73,45.63,-73.98,73.99,3.36
279,canico,20,PT,1565140613,73,32.63,-16.85,71.6,2.24
